,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time,,
47,815.62,0.086567267,0.49672754,4.36,0.002047572,0.012555122,0.004028797,0.03,0.004835367,50,0.595849929,0.097479003,,
48,815.62,0.099324677,0.424784311,4.88,0.00261882,0.01222229,0.003858566,0.02,0.004821539,58.8,0.536331278,0.110623602,,
49,815.62,0.09394768,0.414643701,4.49,0.002266198,0.011670351,0.003686666,0.02,0.00481081,62.5,0.520261732,0.104711354,,
50,815.62,0.090056831,0.343849483,6.62,0.00374172,0.01153636,0.003720045,0.02,0.004808664,87.5,0.445442674,0.10232726,,
51,815.62,0.098123197,0.542683963,5.71,0.002631747,0.011642933,0.003885984,0.04,0.004801512,62.5,0.652450093,0.10944244,,
52,815.62,0.070194488,0.427442873,5.92,0.002702742,0.011558771,0.003526688,0.02,0.004792213,62.5,0.509196132,0.081216131,,
53,815.62,0.095775819,0.490852669,4.07,0.002348727,0.011680841,0.003622532,0.02,0.004797697,62.5,0.598309329,0.106544775,,
54,815.62,0.085359549,0.336887419,6.15,0.00260337,0.011446953,0.003637075,0.02,0.004813671,50,0.433693921,0.096413665,,
55,815.62,0.076526022,0.408178023,6.33,0.002735517,0.011879444,0.00372982,0.02,0.004811049,50,0.496583489,0.087802408,,
56,815.62,0.069345943,0.387286819,5.93,0.002378075,0.012127876,0.00392437,0.04,0.004787922,68.8,0.468760638,0.08043631,,
57,815.62,0.089755443,0.456022313,5.74,0.002721721,0.013793707,0.003715992,0.02,0.00479722,62.5,0.559571463,0.100990376,,
58,815.62,0.069584384,0.533945643,6.14,0.002931288,0.011384726,0.003577948,0.02,0.004794121,70.6,0.614914753,0.080887741,,
59,815.62,0.095671192,0.483573447,6.47,0.003410531,0.01158309,0.003856421,0.02,0.004800558,50,0.590827729,0.107738702,,
60,815.62,0.087780954,0.416526577,5.62,0.002453113,0.011717081,0.003674269,0.03,0.00480628,88.2,0.516024612,0.098714616,,
61,815.62,0.092970762,0.529376495,6.6,0.003432749,0.011279583,0.003769398,0.03,0.004796982,50,0.63362684,0.104969891,,
62,815.62,0.088885646,0.347252661,4.6,0.002434951,0.011884928,0.003717422,0.02,0.004802704,62.5,0.448023235,0.099840723,,
63,815.62,0.068090283,0.360274565,5.29,0.002626597,0.011101484,0.003655672,0.02,0.004799128,75,0.439466332,0.07917168,,
64,815.62,0.08687313,0.343225062,5.49,0.002508228,0.011467934,0.003647089,0.02,0.004798174,93.8,0.441566126,0.097826621,,
65,815.62,0.074021462,0.363043388,5.5,0.002855105,0.012046337,0.003874063,0.04,0.004801273,62.5,0.449111187,0.085551903,,
66,815.62,0.07184717,0.34958311,4.72,0.001963485,0.0122087,0.003942013,0.02,0.004857302,75,0.43363898,0.08260997,,
67,815.62,0.082207891,0.341196216,4.8,0.002067399,0.012782335,0.003851652,0.02,0.004799366,62.5,0.436186442,0.092926308,,
