,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time
2897,815.62,0.081168687,0.352887671,18.75,0.008112783,0.010889053,0.004790068,0.02,0.011411905,96,0.444945412,0.105483443
2898,815.62,0.083272382,0.458973484,12.87,0.007240702,0.01224947,0.004703522,0.01,0.009039402,95.9,0.554495336,0.104256008
2899,815.62,0.084370903,0.347718354,46.63,0.019880564,0.011095762,0.004242659,0.02,0.006543159,96.6,0.443185019,0.115037285
2900,815.62,0.071806333,0.351668755,14.18,0.006113782,0.011889935,0.004295588,0.01,0.007292032,96.7,0.435365023,0.089507735
2901,815.62,0.099037681,0.409046926,16.04,0.008044296,0.010299921,0.00435853,0.01,0.011214256,95,0.518384528,0.122654763
2902,815.62,0.073969335,0.429402386,47.05,0.024770842,0.01248455,0.004339457,0.02,0.007066727,97.6,0.515856271,0.11014636
2903,815.62,0.069173375,0.352223076,30.25,0.013062871,0.010937452,0.004517794,0.01,0.006630421,95.9,0.432333903,0.09338446
2904,815.62,0.073964666,0.42497869,31.15,0.016231825,0.013976574,0.004532576,0.01,0.009606361,93.8,0.51291993,0.104335428
2905,815.62,0.090543745,0.327800339,16.48,0.006623121,0.009916306,0.004419565,0.02,0.006481886,95.1,0.42826039,0.108068318
2906,815.62,0.078797363,0.528061673,19.07,0.012347994,0.011053801,0.004389524,0.01,0.005829811,95.5,0.617912836,0.101364692
2907,815.62,0.078254207,0.353688099,23.68,0.010270167,0.01264286,0.004241228,0.01,0.004267693,96.6,0.444585167,0.097033295
2908,815.62,0.101516308,0.386217967,25.21,0.011935208,0.010445356,0.0042665,0.02,0.016302586,95.4,0.498179632,0.134020602
2909,815.62,0.068644541,0.408073448,26.96,0.01348714,0.016144753,0.004972696,0.01,0.00485611,97.6,0.492862742,0.091960487
2910,815.62,0.070034378,0.327015819,25.11,0.010068109,0.011367321,0.004420996,0.01,0.008812666,97,0.408417518,0.093336149
2911,815.62,0.081002717,0.333403281,19.25,0.007870425,0.014639378,0.004267693,0.02,0.010235548,97.9,0.429045376,0.103376383
2912,815.62,0.072939249,0.393890208,13.21,0.006380908,0.009652853,0.00422287,0.01,0.006210804,94.6,0.47648231,0.089753831
2913,815.62,0.067970896,0.390499164,14.69,0.007032445,0.011433601,0.004593372,0.01,0.01427722,93.3,0.469903661,0.093873933
2914,815.62,0.072047142,0.381887197,18.91,0.008852174,0.008588076,0.004339218,0.02,0.015724182,96.2,0.462522415,0.100962717
2915,815.62,0.083290304,0.380686032,22.15,0.010337595,0.012162685,0.004316807,0.01,0.005405664,98.8,0.476139022,0.103350371
2916,815.62,0.084851959,0.338205932,17.55,0.007278392,0.016280174,0.004291296,0.02,0.008023977,95.8,0.439338064,0.104445624
2917,815.62,0.081797166,0.407893693,17.81,0.008908023,0.013278008,0.004253149,0.02,0.006250143,95.7,0.502968866,0.101208481
2918,815.62,0.093750778,0.400526159,35.61,0.017485614,0.015604496,0.00474453,0.01,0.009190083,96,0.509881433,0.125171005
2919,815.62,0.081169302,0.43234868,27.49,0.014573132,0.010372162,0.004340887,0.01,0.006183386,95.6,0.523890144,0.106266707
2920,815.62,0.069795871,0.484979953,14.08,0.008373918,0.011737823,0.004434347,0.01,0.006256819,94.8,0.566513647,0.088860954
2921,815.62,0.078274537,0.48737435,20.71,0.012372843,0.012842655,0.004280567,0.01,0.011692524,95.7,0.578491543,0.106620471
2922,815.62,0.075749757,0.382373265,23.07,0.010814223,0.012312412,0.004294395,0.02,0.009809971,96.9,0.470435435,0.100668346
2923,815.62,0.068948384,0.489097467,29.1,0.017449864,0.013895512,0.004310131,0.01,0.005771637,95.7,0.571941362,0.096480015
2924,815.62,0.071305488,0.422575927,10.17,0.005270056,0.01028204,0.004295826,0.01,0.00591135,96.6,0.504163455,0.08678272
2925,815.62,0.0740463,0.489611035,39.16,0.023504495,0.009344578,0.004413605,0.02,0.006541491,94.7,0.573001913,0.10850589
2926,815.62,0.101438027,0.446995753,17.25,0.009452098,0.009207249,0.004250526,0.01,0.01017046,95.9,0.557641029,0.125311111
2927,815.62,0.094868359,0.365138784,26.17,0.011714869,0.008079767,0.004601717,0.02,0.005222082,96.6,0.46808691,0.116407027
2928,815.62,0.068175499,0.488225505,29.82,0.017850745,0.011234522,0.00445509,0.01,0.006165028,94.8,0.567635525,0.096646361
2929,815.62,0.075648969,0.368946789,45.25,0.020467005,0.012668371,0.004422665,0.01,0.006550312,94.9,0.45726413,0.107088951
2930,815.62,0.079017405,0.364685343,33.06,0.014782594,0.011159658,0.004248142,0.01,0.009055138,95.8,0.454862406,0.107103279
