,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent ,no_seg_time,after_seg_time
318,815.62,0.069600336,0.334286658,34.57,0.003290176,0.018157005,0.004523516,0.02,0.024435997,100,0.422043999,0.102197405
319,815.62,0.091606061,0.54225276,38.34,0.003329992,0.018326521,0.004922867,0.02,0.024415255,92.9,0.652185342,0.124444936
320,815.62,0.079550799,0.419918877,31.67,0.003255606,0.01725316,0.004047155,0.02,0.024211645,100,0.516722836,0.111571359
321,815.62,0.093192866,0.328088812,9.43,0.003023863,0.019033909,0.00414443,0.02,0.024354696,96.3,0.440315587,0.12532767
322,815.62,0.096205963,0.491933258,29.51,0.003069639,0.020743132,0.004491806,0.02,0.024409056,96.7,0.608882353,0.129901299
323,815.62,0.072221543,0.418027988,7.87,0.003115654,0.017709017,0.004112244,0.02,0.024383783,96.6,0.507958548,0.105362717
324,815.62,0.089678059,0.336435425,37.85,0.003382921,0.018203974,0.004457951,0.02,0.024888039,100,0.444317458,0.122491818
325,815.62,0.096900404,0.490337215,40.79,0.0033741,0.019008636,0.004768372,0.02,0.040441513,97.5,0.606246255,0.145124418
326,815.62,0.092763087,0.421871249,33.35,0.003423691,0.018331528,0.004472017,0.02,0.024270773,96.9,0.532965864,0.125304316
327,815.62,0.08917656,0.335553856,29.63,0.003164768,0.018070221,0.004332304,0.02,0.024493217,100,0.442800637,0.120731765
328,815.62,0.080089064,0.515379276,9.9,0.003085852,0.017993927,0.004151821,0.02,0.024365425,96.7,0.613462267,0.111412797
329,815.62,0.068581663,0.398500129,37.34,0.003358126,0.018555403,0.004532099,0.02,0.024516106,96.6,0.485637195,0.102477086
330,815.62,0.091780476,0.340758391,34.33,0.003307581,0.017807961,0.004447222,0.02,0.024354458,96.4,0.450346828,0.124281334
331,815.62,0.078104099,0.377971374,33.34,0.003373384,0.018226385,0.004452229,0.02,0.024462223,96.3,0.474301858,0.10993799
332,815.62,0.084144272,0.521311194,36.45,0.003292322,0.017605066,0.004387617,0.02,0.024405241,100,0.623060532,0.116381622
333,815.62,0.079791873,0.37317775,37.24,0.003338099,0.018363237,0.004523039,0.02,0.02433753,96.3,0.47133286,0.111816073
334,815.62,0.078115281,0.347361486,31.24,0.003273726,0.018254757,0.004448652,0.02,0.024437428,96.6,0.443731524,0.110561866
335,815.62,0.078207711,0.345510484,39.31,0.003266096,0.02390027,0.004562855,0.01,0.024279118,100,0.447618465,0.110644444
336,815.62,0.070866344,0.359497518,35.25,0.003239632,0.019555092,0.004992962,0.01,0.02442193,96.3,0.449918954,0.10410205
337,815.62,0.088989985,0.398967118,29.97,0.003301859,0.019783258,0.004397154,0.02,0.024260521,96.7,0.507740361,0.12213458
338,815.62,0.08094464,0.356949718,35.27,0.003336191,0.017660379,0.004249573,0.02,0.024689436,96.3,0.455554737,0.114373028
339,815.62,0.068473883,0.382082298,47.71,0.003424168,0.017838955,0.004366398,0.02,0.023724556,100,0.468395136,0.10098107
340,815.62,0.076999096,0.372668819,33.64,0.003329992,0.021209717,0.005216837,0.02,0.024371147,96.2,0.470877632,0.111435614
341,815.62,0.100361814,0.348580144,40.3,0.003329277,0.018221617,0.00462532,0.02,0.024173498,100,0.467163575,0.132655631
342,815.62,0.082517796,0.420142303,32.48,0.003371239,0.024500132,0.006290674,0.02,0.024854898,97,0.527160231,0.117346097
343,815.62,0.099008088,0.371922849,44.34,0.003360748,0.018155336,0.004487991,0.02,0.033758879,100,0.489086273,0.141911215
344,815.62,0.074498662,0.354675028,40.09,0.003492117,0.01878953,0.004655361,0.02,0.027141094,97.1,0.44796322,0.109987483
345,815.62,0.092675994,0.437114788,40.89,0.003457785,0.01833725,0.004611254,0.02,0.024742365,96.6,0.548128032,0.127086975
346,815.62,0.091689643,0.42015497,58.91,0.003443241,0.017852545,0.00453639,0.02,0.024505615,97,0.529697158,0.124978724
347,815.62,0.082029999,0.366041698,58.21,0.003642082,0.018417835,0.004683256,0.02,0.024547338,100,0.466489532,0.115128774
348,815.62,0.090260145,0.382567283,34.96,0.003469229,0.018428087,0.004574299,0.02,0.02437377,96.6,0.491255515,0.124299888
349,815.62,0.099188315,0.380841378,34.01,0.003442526,0.018058062,0.004457235,0.02,0.024427176,96.7,0.498087755,0.131966895
350,815.62,0.0724068,0.327647763,32.29,0.003435373,0.019397259,0.004690886,0.01,0.024372578,96.7,0.419451822,0.105577941
351,815.62,0.094579056,0.333334946,37.07,0.003326178,0.017682791,0.00436902,0.01,0.024510384,96.3,0.445596793,0.127431361
352,815.62,0.100143353,0.512930363,8.54,0.003314972,0.017460346,0.004194498,0.02,0.024179697,96.3,0.630534062,0.132973924
353,815.62,0.095241002,0.400170036,34.53,0.003497124,0.017581463,0.00425005,0.02,0.041883945,97.7,0.512992501,0.152895617
354,815.62,0.099552829,0.439619857,39.38,0.003525496,0.017782927,0.004405975,0.02,0.024540424,100,0.556955613,0.131540901
355,815.62,0.074720449,0.536492805,45.36,0.003379107,0.019628286,0.004533052,0.02,0.02439189,96.2,0.63084154,0.107984093
356,815.62,0.086239656,0.331464092,38.05,0.003474474,0.017503023,0.004242182,0.02,0.024301529,96.7,0.435206771,0.118860657
357,815.62,0.087826711,0.436046657,34.12,0.003434181,0.017592907,0.004307747,0.02,0.024200678,100,0.541466275,0.119706926
358,815.62,0.076201947,0.398613315,73.6,0.003683567,0.017632008,0.004529953,0.02,0.024241924,96.3,0.49244727,0.10807794
359,815.62,0.075885069,0.355709068,7.14,0.00318861,0.019250393,0.004756689,0.02,0.024098396,96.3,0.45084453,0.108211342
360,815.62,0.07691721,0.340741406,53.32,0.003546715,0.019032478,0.00440073,0.02,0.024496555,96.3,0.436691094,0.109280944
361,815.62,0.08180167,0.372796867,36.5,0.003486395,0.0178442,0.004257679,0.01,0.024133444,96.6,0.472442737,0.11401219
362,815.62,0.093413314,0.377343333,32.29,0.004131317,0.017771721,0.004391193,0.01,0.024344921,100,0.488528368,0.127471719
363,815.62,0.093479314,0.387183182,46.62,0.003643274,0.017881393,0.004492044,0.02,0.024850607,96.3,0.498543889,0.12630845
364,815.62,0.095164538,0.365607164,0,6.20E-06,0.012459755,9.78E-06,0.01,0.023627758,96.3,0.473231457,0.123372347
365,815.62,0.076841944,0.392574267,8.95,0.003252268,0.017877102,0.00420928,0.02,0.024949312,100,0.487293313,0.110805384
366,815.62,0.069080451,0.461047876,22.66,0.003256798,0.017522097,0.004194021,0.02,0.03289032,97.5,0.547650424,0.110835543
